event_file,tag,step,wall_time,value
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4400,1779897890.8125858,4.483973503112793
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4500,1779897932.7393687,4.764987468719482
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4600,1779897974.6190648,4.621097087860107
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4700,1779898016.4545681,3.8493947982788086
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4800,1779898058.261094,5.220503330230713
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,4900,1779898100.149523,4.872040748596191
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5000,1779898142.1544597,3.7151756286621094
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5100,1779898779.2577581,4.741887092590332
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5200,1779898821.0490572,4.987648010253906
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5300,1779898862.9883857,4.695601940155029
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5400,1779898905.0503528,4.969977378845215
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5500,1779898947.0835922,4.38118839263916
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5600,1779898989.1300998,4.521561622619629
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5700,1779899031.0178554,3.877753257751465
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5800,1779899073.0309632,4.595305442810059
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,5900,1779899114.8688521,5.012251853942871
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,6000,1779899156.8039715,4.3442230224609375
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,6100,1779899198.730677,4.389451026916504
