model,sample_id,L,cer_vs_gt,cer_vs_original_whisper,gt_len,hyp_len
lca,BAC009S0907W0481,2,0.5882352941176471,0.5294117647058824,17,16
lca,BAC009S0907W0481,3,0.35294117647058826,0.29411764705882354,17,17
base,BAC009S0908W0433,1,1.0,1.0,20,6
base,BAC009S0908W0433,2,0.6,0.5263157894736842,20,19
base,BAC009S0908W0433,3,0.5,0.47368421052631576,20,19
lca,BAC009S0908W0433,1,2.15,2.263157894736842,20,43
lca,BAC009S0908W0433,2,0.9,0.5789473684210527,20,20
lca,BAC009S0908W0433,3,0.6,0.21052631578947367,20,19
base,BAC009S0912W0134,1,1.0,1.0,15,6
base,BAC009S0912W0134,2,0.4666666666666667,0.26666666666666666,15,17
base,BAC009S0912W0134,3,0.3333333333333333,0.0,15,15
lca,BAC009S0912W0134,1,1.2,1.2,15,18
lca,BAC009S0912W0134,2,0.4666666666666667,0.3333333333333333,15,16
lca,BAC009S0912W0134,3,0.2,0.4666666666666667,15,16
base,BAC009S0913W0143,1,1.1875,1.1875,16,21
base,BAC009S0913W0143,2,0.4375,0.125,16,16
base,BAC009S0913W0143,3,0.4375,0.125,16,16
lca,BAC009S0913W0143,1,1.0625,1.0625,16,20
lca,BAC009S0913W0143,2,0.375,0.0625,16,16
lca,BAC009S0913W0143,3,0.375,0.0625,16,16
base,BAC009S0914W0221,1,1.6666666666666667,1.6666666666666667,12,20
base,BAC009S0914W0221,2,0.8333333333333334,0.8333333333333334,12,13
base,BAC009S0914W0221,3,0.6666666666666666,0.6666666666666666,12,14
lca,BAC009S0914W0221,1,3.8333333333333335,3.8333333333333335,12,46
lca,BAC009S0914W0221,2,0.9166666666666666,0.9166666666666666,12,14
lca,BAC009S0914W0221,3,0.8333333333333334,0.8333333333333334,12,12
base,BAC009S0915W0171,1,1.0,1.0,14,9
base,BAC009S0915W0171,2,0.5,0.35294117647058826,14,16
base,BAC009S0915W0171,3,0.07142857142857142,0.11764705882352941,14,15
lca,BAC009S0915W0171,1,1.4285714285714286,1.1764705882352942,14,20
lca,BAC009S0915W0171,2,0.14285714285714285,0.11764705882352941,14,16
lca,BAC009S0915W0171,3,0.0,0.17647058823529413,14,14
base,BAC009S0916W0131,1,1.25,1.25,8,10
base,BAC009S0916W0131,2,0.25,0.125,8,8
base,BAC009S0916W0131,3,0.25,0.25,8,7
lca,BAC009S0916W0131,1,1.0,1.0,8,6
lca,BAC009S0916W0131,2,0.25,0.125,8,8
lca,BAC009S0916W0131,3,0.25,0.25,8,7
base,BAC009S0764W0450,1,4.666666666666667,4.666666666666667,9,42
base,BAC009S0764W0450,2,0.1111111111111111,0.0,9,9
base,BAC009S0764W0450,3,0.1111111111111111,0.0,9,9
lca,BAC009S0764W0450,1,1.7777777777777777,1.7777777777777777,9,16
lca,BAC009S0764W0450,2,0.1111111111111111,0.0,9,9
lca,BAC009S0764W0450,3,0.1111111111111111,0.0,9,9
base,BAC009S0765W0353,1,1.0833333333333333,1.0833333333333333,12,13
base,BAC009S0765W0353,2,2.5,2.5,12,30
base,BAC009S0765W0353,3,0.16666666666666666,0.16666666666666666,12,12
lca,BAC009S0765W0353,1,1.1666666666666667,1.1666666666666667,12,14
lca,BAC009S0765W0353,2,1.0833333333333333,1.0833333333333333,12,14
lca,BAC009S0765W0353,3,0.4166666666666667,0.4166666666666667,12,12
base,BAC009S0766W0409,1,2.5714285714285716,2.5714285714285716,14,36
base,BAC009S0766W0409,2,1.1428571428571428,1.1428571428571428,14,16
base,BAC009S0766W0409,3,0.35714285714285715,0.35714285714285715,14,14
lca,BAC009S0766W0409,1,1.0,1.0,14,14
lca,BAC009S0766W0409,2,0.42857142857142855,0.42857142857142855,14,13
lca,BAC009S0766W0409,3,0.21428571428571427,0.21428571428571427,14,14
base,BAC009S0767W0184,1,1.6666666666666667,1.6666666666666667,15,26
base,BAC009S0767W0184,2,0.5333333333333333,0.5333333333333333,15,17
base,BAC009S0767W0184,3,0.4666666666666667,0.4666666666666667,15,17
lca,BAC009S0767W0184,1,1.0,1.0,15,16
lca,BAC009S0767W0184,2,0.8,0.8,15,17
lca,BAC009S0767W0184,3,0.26666666666666666,0.26666666666666666,15,17
base,BAC009S0768W0280,1,1.25,1.1538461538461537,24,31
base,BAC009S0768W0280,2,0.16666666666666666,0.23076923076923078,24,24
base,BAC009S0768W0280,3,0.125,0.19230769230769232,24,24
lca,BAC009S0768W0280,1,0.875,0.7307692307692307,24,27
lca,BAC009S0768W0280,2,0.08333333333333333,0.15384615384615385,24,24
lca,BAC009S0768W0280,3,0.041666666666666664,0.07692307692307693,24,24
base,BAC009S0769W0251,1,1.0,1.0,16,9
base,BAC009S0769W0251,2,0.3125,0.35294117647058826,16,16
base,BAC009S0769W0251,3,0.3125,0.35294117647058826,16,15
lca,BAC009S0769W0251,1,0.9375,0.9411764705882353,16,16
lca,BAC009S0769W0251,2,0.0625,0.11764705882352941,16,16
lca,BAC009S0769W0251,3,0.375,0.4117647058823529,16,15
base,BAC009S0770W0128,1,2.5,2.5,8,20
base,BAC009S0770W0128,2,0.625,0.625,8,7
base,BAC009S0770W0128,3,0.0,0.125,8,8
lca,BAC009S0770W0128,1,3.25,3.25,8,26
lca,BAC009S0770W0128,2,0.5,0.625,8,8
lca,BAC009S0770W0128,3,0.375,0.375,8,8
base,BAC009S0901W0264,1,1.0,1.0,9,9
base,BAC009S0901W0264,2,0.3333333333333333,0.3333333333333333,9,9
base,BAC009S0901W0264,3,0.0,0.0,9,9
lca,BAC009S0901W0264,1,0.6666666666666666,0.6666666666666666,9,6
lca,BAC009S0901W0264,2,0.0,0.0,9,9
lca,BAC009S0901W0264,3,0.3333333333333333,0.3333333333333333,9,9
base,BAC009S0902W0339,1,1.0,1.0,12,12
base,BAC009S0902W0339,2,0.5,0.25,12,13
base,BAC009S0902W0339,3,0.5833333333333334,0.5,12,12
lca,BAC009S0902W0339,1,2.0833333333333335,2.0833333333333335,12,25
lca,BAC009S0902W0339,2,0.5,0.3333333333333333,12,12
lca,BAC009S0902W0339,3,0.4166666666666667,0.16666666666666666,12,12
base,BAC009S0903W0231,1,2.933333333333333,2.75,15,44
base,BAC009S0903W0231,2,0.8,0.8125,15,13
base,BAC009S0903W0231,3,0.5333333333333333,0.3125,15,17
lca,BAC009S0903W0231,1,4.266666666666667,4.0,15,64
lca,BAC009S0903W0231,2,3.6,3.3125,15,54
lca,BAC009S0903W0231,3,0.6666666666666666,0.5,15,17
base,BAC009S0904W0366,1,1.85,1.85,20,38
base,BAC009S0904W0366,2,0.15,0.15,20,20
base,BAC009S0904W0366,3,0.3,0.3,20,21
lca,BAC009S0904W0366,1,2.05,2.05,20,41
lca,BAC009S0904W0366,2,0.5,0.55,20,21
lca,BAC009S0904W0366,3,0.5,0.55,20,21
base,BAC009S0905W0157,1,2.3,2.3,10,23
base,BAC009S0905W0157,2,1.3,1.3,10,13
base,BAC009S0905W0157,3,1.7,1.7,10,18
lca,BAC009S0905W0157,1,2.3,2.3,10,23
lca,BAC009S0905W0157,2,1.4,1.4,10,14
lca,BAC009S0905W0157,3,3.1,3.1,10,31
base,BAC009S0906W0362,1,2.5555555555555554,2.5555555555555554,9,23
base,BAC009S0906W0362,2,3.4444444444444446,3.4444444444444446,9,31
base,BAC009S0906W0362,3,0.7777777777777778,0.6666666666666666,9,9
lca,BAC009S0906W0362,1,1.6666666666666667,1.6666666666666667,9,15
lca,BAC009S0906W0362,2,1.2222222222222223,1.2222222222222223,9,11
lca,BAC009S0906W0362,3,1.0,0.8888888888888888,9,9
base,BAC009S0907W0325,1,1.9411764705882353,1.9411764705882353,17,34
base,BAC009S0907W0325,2,0.058823529411764705,0.058823529411764705,17,17
base,BAC009S0907W0325,3,0.058823529411764705,0.058823529411764705,17,17
lca,BAC009S0907W0325,1,1.0,1.0,17,9
lca,BAC009S0907W0325,2,0.0,0.0,17,17
lca,BAC009S0907W0325,3,0.0,0.0,17,17
base,BAC009S0908W0443,1,0.85,0.8095238095238095,20,20
base,BAC009S0908W0443,2,0.6,0.6190476190476191,20,19
base,BAC009S0908W0443,3,0.3,0.23809523809523808,20,20
lca,BAC009S0908W0443,1,1.5,1.4285714285714286,20,30
lca,BAC009S0908W0443,2,0.6,0.6190476190476191,20,17
lca,BAC009S0908W0443,3,0.55,0.5714285714285714,20,20
base,BAC009S0912W0431,1,1.2380952380952381,1.2380952380952381,21,26
base,BAC009S0912W0431,2,0.7142857142857143,0.7142857142857143,21,24
base,BAC009S0912W0431,3,0.14285714285714285,0.09523809523809523,21,21
lca,BAC009S0912W0431,1,2.4285714285714284,2.4285714285714284,21,52
lca,BAC009S0912W0431,2,0.2857142857142857,0.38095238095238093,21,22
lca,BAC009S0912W0431,3,0.38095238095238093,0.3333333333333333,21,21
