candidate_id,encoder_type,stage_rank,stage_score,selected_for_next_stage,selected,encoder_params,encoder_macs_g,encoder_rtf_mean,encoder_rtf_std,semantic_proxy_loss,proxy_recon_l1,proxy_mel_loss,teacher_latent_smooth_l1,teacher_latent_cosine_distance,teacher_temporal_delta_loss,rvq_code_agreement,rvq_code_flip_rate,rvq_quantized_feature_l1,train_last_total,encoder_strides,n_filters,compress,lstm,activation,layer_ops_list,layer_se_list,is_selected,params_M,macs_G_per_s,params_ratio_vs_hand,macs_ratio_vs_hand,rtf_ratio_vs_hand,params_ratio_vs_selected,macs_ratio_vs_selected,rtf_ratio_vs_selected
nas_seed42_000896,nas-candidate,1.0,62.14590004056885,True,,8873360,0.6183936,0.0036879999999655,0.0001529071363983,0.6925718225538731,0.0284044084255583,1.5059122331440449,1.9032792896032331,0.1978855449706316,1.3852078802883625,0.255833338946104,0.744166661053896,2.004696302115917,2.521810293197632,"[5, 4, 4, 4]",24,2,1,Snake,"[""skip"", ""std_k7"", ""sep_k9"", ""dil_k5""]","[false, false, false, false]",True,8.87336,0.6183936,0.13105749671047656,0.10535957290903382,0.38710056633588363,1.0,1.0,1.0
nas_seed42_002496,nas-candidate,2.0,62.22308165061272,True,,8552336,0.532992336,0.0047706599987577,0.0006990160497578,0.6936201546341181,0.0287509614427108,1.503130618482828,1.9807285480201244,0.2066900394856929,1.4564756639301777,0.2433333389926701,0.7566666610073298,2.0267657712101936,2.5474753379821777,"[10, 4, 4, 2]",24,4,1,Snake,"[""skip"", ""std_k7"", ""dil_k5"", ""std_k3""]","[false, true, false, false]",False,8.552336,0.532992336,0.12631604569034618,0.09080922714068879,0.50073893365844,0.9638215963287864,0.8618982085196224,1.2935629063997633
nas_seed42_007851,nas-candidate,3.0,62.2276180511781,True,,8518136,0.538276872,0.007422479998786,4.39565870360841e-05,0.6927161179482937,0.028772108576959,1.4927152916789057,1.9621242359280584,0.2071787118911743,1.4682524651288986,0.246041672071442,0.753958327928558,2.042899936437607,2.7085890769958496,"[8, 5, 4, 2]",24,4,1,Snake,"[""dil_k3"", ""dil_k3"", ""sep_k9"", ""dil_k3""]","[true, false, false, true]",False,8.518136,0.538276872,0.1258109195163266,0.09170958648461217,0.7790797752640205,0.9599673629831316,0.8704437950198708,2.012603036566007
nas_seed42_000187,nas-candidate,4.0,62.297679798278,True,,8753456,0.581915184,0.0047516400009044,0.0002246743642994,0.6926214341074228,0.0283592907944694,1.6137611791491508,1.9865996539592743,0.2112459447234869,1.4537901058793068,0.2420833380892872,0.7579166619107127,2.0796252004802227,2.875450849533081,"[4, 4, 5, 4]",24,2,1,Snake,"[""skip"", ""dil_k3"", ""sep_k7"", ""sep_k3""]","[false, true, true, false]",False,8.753456,0.581915184,0.12928654206808934,0.09914451775620224,0.4987425529803521,0.9864871931263918,0.9410110065822156,1.2884056401705126
nas_seed42_006303,nas-candidate,5.0,62.34126310986397,True,,8594864,0.526929936,0.0070188600002438,0.0001166660467839,0.6940300129354,0.0298536255140788,1.533422440290451,2.045409604907036,0.2194312252104282,1.510862309485674,0.2231250049080699,0.77687499509193,2.0925725921988487,2.6145055294036865,"[8, 5, 4, 2]",24,2,1,Snake,"[""skip"", ""dil_k5"", ""sep_k9"", ""std_k5""]","[false, true, false, true]",False,8.594864,0.526929936,0.12694417451867088,0.08977633825761543,0.7367149352364619,0.9686143693031727,0.8520947435419772,1.9031616052899833
nas_seed42_005944,nas-candidate,6.0,62.42862427263223,True,,8452808,0.561850008,0.0075840999998035,0.0001046663655404,0.6932843457907438,0.0298478924087248,1.606751799583435,2.105074044317007,0.2330843172967434,1.5065395757555962,0.2208333401940763,0.7791666598059237,2.1330509521067142,3.045865297317505,"[10, 4, 4, 2]",24,2,1,Snake,"[""std_k7"", ""sep_k9"", ""dil_k3"", ""sep_k7""]","[true, true, false, false]",False,8.452808,0.561850008,0.12484603990532223,0.09572588862791793,0.7960437649401771,0.9526051011116421,0.908563749689518,2.056426247254459
nas_seed42_007861,nas-candidate,7.0,62.51405488821823,True,,8470088,0.550598472,0.00739259999973,3.175865365664902e-05,0.6950499676167965,0.0308233297546394,1.6553640253841877,2.1478100046515465,0.2440570797771215,1.5439342558383942,0.2083333380287513,0.7916666619712487,2.147693406790495,3.13926100730896,"[10, 4, 4, 2]",24,2,1,Snake,"[""dil_k5"", ""sep_k7"", ""std_k5"", ""sep_k9""]","[true, false, false, false]",False,8.470088,0.550598472,0.12510126155114262,0.09380889429367739,0.775943505047968,0.9545525032231308,0.8903689688897168,2.0045010845442395
nas_seed42_003333,nas-candidate,8.0,62.53391663992104,True,,8471336,0.56910852,0.0048418800011859,0.0001775167397984,0.6932647172361612,0.0307431974215433,1.6287130787968636,2.1604803390800957,0.2432945314794778,1.5389760173857212,0.1864583378192037,0.8135416621807963,2.223318338394165,2.836421251296997,"[10, 4, 4, 2]",24,2,1,Snake,"[""std_k7"", ""sep_k9"", ""dil_k5"", ""sep_k3""]","[true, false, true, false]",False,8.471336,0.56910852,0.125119694225563,0.09696256656940229,0.5082143412708743,0.9546931489311827,0.9203014390834575,1.312874186884814
hand_encoder,hand-designed,,,False,,67705856,5.8693632,0.009527240000898,0.0001225444978538,0.6926520559936762,0.0273196808411739,1.0530021376907823,0.0,0.0,0.0,1.0,0.0,0.0,,"[8, 5, 4, 2]",64,2,2,ELU,base_seanet_resnet_block,[],False,67.705856,5.8693632,1.0,1.0,1.0,7.630238827231173,9.49130650769995,2.583308026298027
