method,codec_setting,sample_id,duration_sec,encoded_path,decoded_wav_path,nominal_bitrate_bps,actual_payload_bytes,actual_payload_bps,container_overhead_notes
pcm16_wav,16kHz mono PCM_16 WAV,8838-298545-0037,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\8838-298545-0037.wav,256000,32044,256352.0,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes
pcm16_wav,16kHz mono PCM_16 WAV,5390-30102-0015,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\5390-30102-0015.wav,256000,32044,256352.0,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes
pcm16_wav,16kHz mono PCM_16 WAV,4018-103416-0033,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\4018-103416-0033.wav,256000,32044,256352.0,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes
