split,L_cum,sum_H_bits,R_entropy_bps_cum,R_naive_bps_cum,savings_pct
test-clean,1,8.296958257117602,414.8479128558801,500.0,17.030417428823977
test-clean,2,17.636890115295117,881.8445057647558,1000.0,11.815549423524418
test-clean,3,27.121455158799264,1356.0727579399631,1500.0,9.595149470669124
test-other,1,7.951030951417744,397.5515475708872,500.0,20.489690485822564
test-other,2,16.7572460133639,837.8623006681951,1000.0,16.21376993318049
test-other,3,26.018784422973766,1300.9392211486884,1500.0,13.27071859008744
