split,L,n_frames,n_used,dead_code_ratio,top1_freq,top10_freq,H_bits,H_uniform_used_bits,R_entropy_bps,R_naive_bps,ratio_entropy_to_naive
test-clean,1,132170,395,0.6142578125,0.02259211621396686,0.10850419913747446,8.296958257117602,8.625708843064466,414.8479128558801,500.0,0.8296958257117601
test-clean,2,132170,997,0.0263671875,0.013929030793674814,0.0803661950518272,9.339931858177515,9.961449694398196,466.99659290887575,500.0,0.9339931858177515
test-clean,3,132170,993,0.0302734375,0.010842097298933193,0.06729212377998033,9.484565043504148,9.955649907528374,474.2282521752074,500.0,0.9484565043504147
test-other,1,100812,400,0.609375,0.04101694242748879,0.18676348053803118,7.951030951417744,8.643856189774725,397.5515475708872,500.0,0.7951030951417744
test-other,2,100812,986,0.037109375,0.03017497916914653,0.14968456136174266,8.806215061946157,9.945443836377912,440.31075309730784,500.0,0.8806215061946157
test-other,3,100812,1006,0.017578125,0.01674403840812602,0.09536563107566559,9.261538409609866,9.974414589805527,463.0769204804933,500.0,0.9261538409609866
