L,feature_dim,feature_kind,kind,macro_f1,model,run_dir,seed,speaker_count,summary_path,test_count,top1_accuracy,top5_accuracy
3,6144,latent_stats,probe,0.5902126779934267,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.6018181818181818,0.8418181818181818
1,1024,codes_hist,probe,0.32209161675176307,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.3381818181818182,0.6436363636363637
2,2048,codes_hist,probe,0.4167136483305917,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.44,0.7727272727272727
3,3072,codes_hist,probe,0.4978635831598117,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.5290909090909091,0.8090909090909091
1,2048,latent_stats,probe,0.3337649442061207,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.3509090909090909,0.6363636363636364
2,4096,latent_stats,probe,0.5286758814566301,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.5436363636363636,0.8
3,6144,latent_stats,probe,0.5788326320144501,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42,42,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed42\metrics\speaker_probe_summary.csv,550,0.5890909090909091,0.8290909090909091
1,1024,codes_hist,probe,0.3274497954120807,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.3490909090909091,0.6636363636363637
2,2048,codes_hist,probe,0.44857518736072066,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.4672727272727273,0.7945454545454546
3,3072,codes_hist,probe,0.48889447192864993,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.5018181818181818,0.8109090909090909
1,2048,latent_stats,probe,0.37648296593483754,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.3927272727272727,0.6927272727272727
2,4096,latent_stats,probe,0.5395496215014931,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.5527272727272727,0.8236363636363636
3,6144,latent_stats,probe,0.5670298685271946,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.5763636363636364,0.8436363636363636
1,1024,codes_hist,probe,0.29533948999682186,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.32181818181818184,0.6436363636363637
2,2048,codes_hist,probe,0.4219428803519712,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.44545454545454544,0.7854545454545454
3,3072,codes_hist,probe,0.44986262103909164,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.4709090909090909,0.7890909090909091
1,2048,latent_stats,probe,0.3254740595114927,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.3381818181818182,0.6418181818181818
2,4096,latent_stats,probe,0.4839989024797637,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.5,0.7909090909090909
3,6144,latent_stats,probe,0.49077281039003523,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43,43,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed43\metrics\speaker_probe_summary.csv,550,0.5072727272727273,0.7745454545454545
