metric,sample_id,L,channel,v1,v2,v2_minus_v1
pesq_wb,4018-103416-0033,2,substitution-mid,-0.04796016216278076,0.06801187992095925,0.11597204208374001
pesq_wb,4018-103416-0033,3,dropout-mid,0.03911280632019043,-0.0009717941284179688,-0.0400846004486084
pesq_wb,4018-103416-0033,3,substitution-mid,-0.07777094841003418,-0.016160249710083008,0.06161069869995117
pesq_wb,4680-16026-0019,1,dropout-mid,0.07934129238128707,0.03369259834289573,-0.045648694038391335
pesq_wb,4680-16026-0019,1,substitution-mid,-0.09904992580413818,0.0070438385009767845,0.10609376430511497
pesq_wb,4680-16026-0019,2,dropout-mid,0.0879204273223877,0.07546091079711936,-0.012459516525268333
pesq_wb,4680-16026-0019,2,substitution-mid,-0.1841425895690918,0.0,0.1841425895690918
pesq_wb,4680-16026-0019,3,dropout-mid,0.14384984970092818,0.14881706237793013,0.004967212677001953
pesq_wb,4680-16026-0019,3,substitution-mid,-0.06583070755004838,0.030663013458252397,0.09649372100830078
pesq_wb,5390-30102-0015,1,dropout-mid,0.0025169849395751953,-0.007068037986755371,-0.009585022926330566
pesq_wb,5390-30102-0015,1,substitution-mid,0.0013837814331054688,-0.0015813112258913353,-0.002965092658996804
pesq_wb,5390-30102-0015,2,dropout-mid,-0.006606340408324973,0.027403235435485618,0.03400957584381059
pesq_wb,5390-30102-0015,2,substitution-mid,-0.0061550140380857155,-0.0008478164672853783,0.005307197570800337
pesq_wb,5390-30102-0015,3,dropout-mid,0.006833553314208984,0.04683482646942161,0.040001273155212624
pesq_wb,5390-30102-0015,3,substitution-mid,-0.028668522834777832,0.009914398193359375,0.03858292102813721
pesq_wb,8098-278278-0035,1,dropout-mid,-0.009502172470092551,-0.0031909942626953125,0.006311178207397239
pesq_wb,8098-278278-0035,1,substitution-mid,0.005830407142639382,0.005622982978820801,-0.00020742416381858142
pesq_wb,8098-278278-0035,2,dropout-mid,0.0001332759857175514,0.003715038299560769,0.0035817623138432175
pesq_wb,8098-278278-0035,2,substitution-mid,-0.0006768703460693359,0.005375862121582031,0.006052732467651367
pesq_wb,8098-278278-0035,3,dropout-mid,0.016077876091003418,0.054082393646240234,0.038004517555236816
pesq_wb,8098-278278-0035,3,substitution-mid,0.0020873546600339576,0.00992274284362793,0.007835388183593972
