version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,stoi,higher,4018-103416-0033,2,dropout-mid,0.006409244029634831,0.006201692094335409,0.0002075519352994215
v1,stoi,higher,4018-103416-0033,2,substitution-low,-1.6511832748311583e-05,-2.0244619473031022e-05,3.732786724719439e-06
v1,stoi,higher,4018-103416-0033,2,substitution-mid,0.0006148915469639249,0.0016847442721057426,-0.0010698527251418177
v1,stoi,higher,4018-103416-0033,3,dropout-low,0.001849860909784562,0.0016233878170499594,0.0002264730927346026
v1,stoi,higher,4018-103416-0033,3,dropout-mid,0.013776060829562398,0.013625204287898818,0.00015085654166357987
v1,stoi,higher,4018-103416-0033,3,substitution-low,0.0008665483842070776,0.0010256528999833536,-0.00015910451577627605
v1,stoi,higher,4018-103416-0033,3,substitution-mid,0.00439870248990526,0.006055784836885292,-0.0016570823469800322
v1,stoi,higher,1737-148989-0006,1,dropout-low,0.005817776019040988,0.004210218852736203,0.001607557166304785
v1,stoi,higher,1737-148989-0006,1,dropout-mid,0.00982105326746363,0.00796341001481049,0.0018576432526531406
v1,stoi,higher,1737-148989-0006,1,substitution-low,0.0,0.0,0.0
v1,stoi,higher,1737-148989-0006,1,substitution-mid,0.0029998385395249016,0.0023067923906474608,0.0006930461488774409
v1,stoi,higher,1737-148989-0006,2,dropout-low,0.004886122226991252,0.004373001563293788,0.0005131206636974639
v1,stoi,higher,1737-148989-0006,2,dropout-mid,0.012818679353146512,0.0066947160344758005,0.006123963318670711
v1,stoi,higher,1737-148989-0006,2,substitution-low,0.0,0.0,0.0
v1,stoi,higher,1737-148989-0006,2,substitution-mid,0.0023857913952530785,0.0011587589503820883,0.0012270324448709902
v1,stoi,higher,1737-148989-0006,3,dropout-low,0.0021599919859609518,0.0004522076683617371,0.0017077843175992147
v1,stoi,higher,1737-148989-0006,3,dropout-mid,0.013169574216319369,0.008154074672896083,0.005015499543423285
v1,stoi,higher,1737-148989-0006,3,substitution-low,7.867993384313987e-05,0.00017212794592924574,-9.344801208610587e-05
v1,stoi,higher,1737-148989-0006,3,substitution-mid,0.0017321093437356883,0.0012123432211310625,0.0005197661226046257
v1,stoi,higher,1455-138263-0040,1,dropout-low,0.00431597572978526,0.006564843061094616,-0.0022488673313093566
v1,stoi,higher,1455-138263-0040,1,dropout-mid,0.006302032169845373,0.003565157379525008,0.002736874790320365
v1,stoi,higher,1455-138263-0040,1,substitution-low,0.0,0.0,0.0
