model,feature_kind,L,feature_dim,speaker_count,test_count,top1_accuracy,top5_accuracy,macro_f1
base,codes_hist,1,1024,110,550,0.3490909090909091,0.6636363636363637,0.3274497954120807
base,codes_hist,2,2048,110,550,0.4672727272727273,0.7945454545454546,0.44857518736072066
base,codes_hist,3,3072,110,550,0.5018181818181818,0.8109090909090909,0.48889447192864993
base,latent_stats,1,2048,110,550,0.3927272727272727,0.6927272727272727,0.37648296593483754
base,latent_stats,2,4096,110,550,0.5527272727272727,0.8236363636363636,0.5395496215014931
base,latent_stats,3,6144,110,550,0.5763636363636364,0.8436363636363636,0.5670298685271946
lca,codes_hist,1,1024,110,550,0.32181818181818184,0.6436363636363637,0.29533948999682186
lca,codes_hist,2,2048,110,550,0.44545454545454544,0.7854545454545454,0.4219428803519712
lca,codes_hist,3,3072,110,550,0.4709090909090909,0.7890909090909091,0.44986262103909164
lca,latent_stats,1,2048,110,550,0.3381818181818182,0.6418181818181818,0.3254740595114927
lca,latent_stats,2,4096,110,550,0.5,0.7909090909090909,0.4839989024797637
lca,latent_stats,3,6144,110,550,0.5072727272727273,0.7745454545454545,0.49077281039003523
