model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,2,dropout-low,0.01,0.0,1000,13.79,0.025962332263588905,0.04765840992331505,1.0491647720336914,0.2181783292247276,0.7159305810928345,0.8591170651958777,1.7574087381362915,-1.5012641754828753,0.4710351228713989,0.0,220640,0.008695652173913044,0.0,13563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-low,0.01,0.0,1000,13.79,0.024966802448034286,0.04524064064025879,1.05462646484375,0.9166501906277704,0.7433515787124634,0.8773291638842844,1.7347244024276733,-1.7170781418040444,0.4012329876422882,0.0,220640,0.008695652173913044,0.0,13563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L2\8838-298545-0037.wav
base,8838-298545-0037,2,dropout-mid,0.03,0.0,1000,13.79,0.026623835787177086,0.04889921098947525,1.0645160675048828,-0.12033713060605036,0.7021917104721069,0.84775555067774,1.710897445678711,-1.3801779627615873,0.44921019673347473,0.0,220640,0.021014492753623187,0.0,13294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-mid,0.03,0.0,1000,13.79,0.025823267176747322,0.04762265086174011,1.0687849521636963,0.16804843926960022,0.7139133810997009,0.8658316003000831,1.681795358657837,-1.6836002921581286,0.4017364978790283,0.0,220640,0.021014492753623187,0.0,13294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-low,0.0,0.001,1000,13.79,0.025857768952846527,0.04737070947885513,1.0474603176116943,0.34356202448755785,0.7209484577178955,0.8605478615458139,1.779754638671875,-1.4033408897532755,0.4803844690322876,0.0,220640,0.0,0.0007246376811594203,12992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-low,0.0,0.001,1000,13.79,0.024863505735993385,0.045113056898117065,1.0514836311340332,0.9624447328575088,0.745102047920227,0.87849878150257,1.7614694833755493,-1.6950351982484642,0.40603935718536377,0.0,220640,0.0,0.0007246376811594203,12992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-mid,0.0,0.005,1000,13.79,0.026072034612298012,0.04761846736073494,1.0543429851531982,0.27747669780553436,0.7183088064193726,0.8531709992740731,1.6737381219863892,-1.3758298269781546,0.4803844690322876,0.0,220640,0.0,0.004347826086956522,13123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-mid,0.0,0.005,1000,13.79,0.024996891617774963,0.04533827304840088,1.0626777410507202,0.8932800261868885,0.7424558997154236,0.8751612912498781,1.7488690614700317,-1.6846737034508106,0.40603935718536377,0.0,220640,0.0,0.004347826086956522,13123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.023706944659352303,0.043239694088697433,0.9816579818725586,1.8969347528380718,0.7794182896614075,0.8798481667597896,1.872251033782959,-0.6619138911764626,0.45209625363349915,0.0,220640,0.0,0.0,14773,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.022650765255093575,0.041499000042676926,0.9752021431922913,2.317902126851656,0.7939455509185791,0.8953693557670142,1.961317777633667,-0.8880028082782878,0.4596846401691437,0.0,220640,0.0,0.0,14773,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L3\8838-298545-0037.wav
