model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,2,clean,0.0,0.0,1000,13.79,0.025809811428189278,0.04730052128434181,1.0462017059326172,0.36484711569691824,0.7217962145805359,0.861271005276845,1.7829540967941284,-1.4044968377962506,0.4803844690322876,0.0,220640,0.0,0.0,58558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,clean,0.0,0.0,1000,13.79,0.02515534497797489,0.045945264399051666,1.0040873289108276,0.7806610940088323,0.7381177544593811,0.8674671795990363,1.8204420804977417,-1.4146426058312576,0.3937506377696991,0.0,220640,0.0,0.0,58558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L2\8838-298545-0037.wav
base,8838-298545-0037,2,dropout-low,0.01,0.0,1000,13.79,0.026372207328677177,0.04845688119530678,1.060313105583191,0.019014039655480375,0.7078803181648254,0.851539414713241,1.7018325328826904,-1.3743786752955338,0.46028071641921997,0.0,220640,0.012318840579710146,0.0,58167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-low,0.01,0.0,1000,13.79,0.025788696482777596,0.04723675921559334,1.0172886848449707,0.3746649629896695,0.7221870422363281,0.8583163069934008,1.7236226797103882,-1.43134141311101,0.3939543068408966,0.0,220640,0.012318840579710146,0.0,58167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L2\8838-298545-0037.wav
base,8838-298545-0037,2,dropout-mid,0.03,0.0,1000,13.79,0.027328116819262505,0.050632353872060776,1.073557734489441,-0.6731527665393804,0.6792111396789551,0.845493389773331,1.6045933961868286,-1.4096127072304812,0.4810151755809784,0.0,220640,0.031159420289855074,0.0,58767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-mid,0.03,0.0,1000,13.79,0.026559950783848763,0.04888518527150154,1.0387380123138428,-0.14542276927885495,0.7011630535125732,0.8450486517217771,1.7005256414413452,-1.4509712088075255,0.393546462059021,0.0,220640,0.031159420289855074,0.0,58767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-low,0.0,0.001,1000,13.79,0.025809811428189278,0.04730052128434181,1.0462017059326172,0.36484711569691824,0.7217962145805359,0.861271005276845,1.7829540967941284,-1.4044968377962506,0.4803844690322876,0.0,220640,0.0,0.0,58970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-low,0.0,0.001,1000,13.79,0.02515534497797489,0.045945264399051666,1.0040873289108276,0.7806610940088323,0.7381177544593811,0.8674671795990363,1.8204420804977417,-1.4146426058312576,0.3937506377696991,0.0,220640,0.0,0.0,58970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-mid,0.0,0.005,1000,13.79,0.025826722383499146,0.047325439751148224,1.0478036403656006,0.35348508809632906,0.7213439345359802,0.8607674425758464,1.7726850509643555,-1.4143093423257833,0.4803844690322876,0.0,220640,0.0,0.002173913043478261,58077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-mid,0.0,0.005,1000,13.79,0.02523527666926384,0.04610202834010124,1.0057307481765747,0.7249607804828001,0.7359588146209717,0.8661921596922778,1.8169336318969727,-1.436089588233904,0.39399832487106323,0.0,220640,0.0,0.002173913043478261,58077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.023706944659352303,0.043239694088697433,0.9816579818725586,1.8969347528380718,0.7794182896614075,0.8798481667597896,1.872251033782959,-0.6619138911764626,0.45209625363349915,0.0,220640,0.0,0.0,59558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L3\8838-298545-0037.wav
