method,model,L,codec_setting,sample_id,duration_sec,ideal_bitrate_bps,packed_payload_bytes,packed_payload_bps,packetized_payload_bytes,packetized_payload_bps,overhead_ratio_vs_ideal,bits_per_code,num_indices
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,311-124404-0119,6.175,6000.0,4640,6011.3360323886645,4656,6032.064777327935,0.005344129554655865,10,3712
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,311-124404-0119,6.175,12000.0,9280,12022.672064777329,9296,12043.400809716599,0.0036167341430499013,10,7424
dac,dac_16khz,1,n_q_1,311-124404-0119,6.175,501.3765182186235,387,501.3765182186235,403,522.1052631578948,0.041343669250646045,10,309
dac,dac_16khz,2,n_q_2,311-124404-0119,6.175,1001.4574898785426,773,1001.4574898785426,789,1022.1862348178138,0.020698576972833085,10,618
dac,dac_16khz,3,n_q_3,311-124404-0119,6.175,1501.5384615384617,1159,1501.5384615384617,1175,1522.2672064777328,0.01380500431406375,10,927
dac,dac_16khz,4,n_q_4,311-124404-0119,6.175,2001.6194331983806,1545,2001.6194331983806,1561,2022.348178137652,0.010355987055016221,10,1236
dac,dac_16khz,6,n_q_6,311-124404-0119,6.175,3003.0769230769233,2318,3003.0769230769233,2334,3023.8056680161944,0.006902502157031875,10,1854
dac,dac_16khz,9,n_q_9,311-124404-0119,6.175,4504.615384615385,3477,4504.615384615385,3493,4525.344129554656,0.0046016681046880175,10,2781
dac,dac_16khz,12,n_q_12,311-124404-0119,6.175,6004.858299595142,4635,6004.858299595142,4651,6025.5870445344135,0.003451995685005445,10,3708
scit_base,scit_base,1,L=1,4680-16026-0019,2.34,500,147,502.5641025641026,163,557.2649572649573,0.11452991452991455,10,117
scit_base,scit_base,2,L=2,4680-16026-0019,2.34,1000,293,1001.7094017094017,309,1056.4102564102566,0.05641025641025658,10,234
scit_base,scit_base,3,L=3,4680-16026-0019,2.34,1500,439,1500.854700854701,455,1555.5555555555557,0.037037037037037104,10,351
scit_lca,scit_lca,1,L=1,4680-16026-0019,2.34,500,147,502.5641025641026,163,557.2649572649573,0.11452991452991455,10,117
