model,sample_id,L,ideal_bitrate_bps,channel,p_drop,p_sub,recon_l1,RTF,sample_count,output_path
lca,5390-30102-0015,3,1500,clean,0,0,0.15814737975597382,0.005497899997862987,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L3\5390-30102-0015.wav
lca,5390-30102-0015,1,500,dropout-low,0.01,0,0.15815380215644836,0.007534600001235958,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,2,1000,dropout-low,0.01,0,0.1581483781337738,0.007458300002326723,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L2\5390-30102-0015.wav
lca,5390-30102-0015,3,1500,dropout-low,0.01,0,0.15814737975597382,0.007445100003678817,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L3\5390-30102-0015.wav
lca,5390-30102-0015,1,500,substitution-low,0,0.001,0.15815380215644836,0.007370999999693595,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,2,1000,substitution-low,0,0.001,0.1581483781337738,0.005621600001177285,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L2\5390-30102-0015.wav
lca,5390-30102-0015,3,1500,substitution-low,0,0.001,0.15814737975597382,0.007667400001082569,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L3\5390-30102-0015.wav
base,4018-103416-0033,1,500,clean,0,0,0.16450095176696777,0.007342299999436364,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L1\4018-103416-0033.wav
base,4018-103416-0033,2,1000,clean,0,0,0.16449867188930511,0.00719359999493463,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L2\4018-103416-0033.wav
base,4018-103416-0033,3,1500,clean,0,0,0.1644991636276245,0.005310900000040419,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L3\4018-103416-0033.wav
base,4018-103416-0033,1,500,dropout-low,0.01,0,0.16450095176696777,0.005357599999115337,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L1\4018-103416-0033.wav
base,4018-103416-0033,2,1000,dropout-low,0.01,0,0.16449867188930511,0.007665500001166947,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L2\4018-103416-0033.wav
base,4018-103416-0033,3,1500,dropout-low,0.01,0,0.1644991636276245,0.007605399994645268,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L3\4018-103416-0033.wav
base,4018-103416-0033,1,500,substitution-low,0,0.001,0.16450095176696777,0.009071699998457916,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L1\4018-103416-0033.wav
base,4018-103416-0033,2,1000,substitution-low,0,0.001,0.16449867188930511,0.0075967000011587515,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L2\4018-103416-0033.wav
base,4018-103416-0033,3,1500,substitution-low,0,0.001,0.1644991636276245,0.007683899995754473,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L3\4018-103416-0033.wav
lca,4018-103416-0033,1,500,clean,0,0,0.16269123554229736,0.004941299994243309,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L1\4018-103416-0033.wav
lca,4018-103416-0033,2,1000,clean,0,0,0.16269391775131226,0.007673200001590885,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L2\4018-103416-0033.wav
lca,4018-103416-0033,3,1500,clean,0,0,0.16269172728061676,0.007517400001233909,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L3\4018-103416-0033.wav
lca,4018-103416-0033,1,500,dropout-low,0.01,0,0.16269123554229736,0.005857000003743451,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L1\4018-103416-0033.wav
lca,4018-103416-0033,2,1000,dropout-low,0.01,0,0.16269391775131226,0.007327999999688473,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L2\4018-103416-0033.wav
lca,4018-103416-0033,3,1500,dropout-low,0.01,0,0.16269172728061676,0.007447799995134119,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L3\4018-103416-0033.wav
lca,4018-103416-0033,1,500,substitution-low,0,0.001,0.16269123554229736,0.008959400001913309,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L1\4018-103416-0033.wav
lca,4018-103416-0033,2,1000,substitution-low,0,0.001,0.16269391775131226,0.0077521999992313795,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L2\4018-103416-0033.wav
lca,4018-103416-0033,3,1500,substitution-low,0,0.001,0.16269172728061676,0.008964699998614378,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L3\4018-103416-0033.wav
