model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,550,0.05272727272727273,1.0,0.9931369752233679,0.985263858166608,0.9930920502272519,-0.007828192060643977,0.8327272727272728,0.9910459518432617,0.0,0.9970206022262573
base,2,550,0.12363636363636364,1.0,0.9963893983580849,0.9915093087066303,0.996268888278441,-0.004759579571810636,0.7709090909090909,0.995436429977417,0.0,0.9986981749534607
base,3,550,0.1618181818181818,1.0,0.9965011804754084,0.99205622326244,0.9963431388681585,-0.0042869156057184395,0.7363636363636363,0.9958322048187256,0.005454545454545455,0.9986668229103088
lca,1,550,0.06,1.0,0.9935736831751737,0.9859556910124692,0.9935187150131572,-0.007563024000688033,0.7981818181818182,0.9916121959686279,0.0,0.9975294470787048
lca,2,550,0.11818181818181818,1.0,0.9957632495056499,0.9905110717903484,0.995652626210993,-0.0051415544206445864,0.7436363636363637,0.9948632717132568,0.0018181818181818182,0.9985878467559814
lca,3,550,0.15272727272727274,1.0,0.9961280562660911,0.9914012294465845,0.9959711222215132,-0.0045698927749287,0.7363636363636363,0.9953814148902893,0.0,0.9985381364822388
original,0,550,0.2781818181818182,1.0,0.9963683208552274,0.9925482029264624,0.9960108972679484,-0.0034626943414861507,0.6690909090909091,0.9959769248962402,0.038181818181818185,0.998534083366394
