user_id,device,rvq_layers,chunk_seconds,duration_s,sent_packets,recv_packets,decoded_packets,dropped_packets,drop_rate,body_kbps,total_kbps,encode_ms_mean,encode_ms_p95,decode_ms_mean,decode_ms_p95,encode_rtf_mean,encode_rtf_p95,decode_rtf_mean,decode_rtf_p95,jitter_s_mean,jitter_s_p95,one_way_latency_budget_ms,speaker_id_enabled,speaker_eval_count,speaker_correct_count,speaker_verified_count,speaker_accuracy_mean
p225,cuda,3,0.5,22.67,35,70,70,0,0.0,3.48,11.72,97.0,64.6,13.2,12.5,0.194,0.129,0.026,0.025,0.5,0.75,750.0,1,32,14,32,0.4375
p226,cuda,3,0.5,22.67,35,70,70,0,0.0,3.48,11.72,96.5,67.9,13.2,13.3,0.193,0.136,0.026,0.027,0.5,0.75,750.0,1,32,17,32,0.5312
p227,cuda,3,0.5,22.83,35,70,70,0,0.0,3.46,11.64,91.3,41.2,18.6,35.2,0.183,0.082,0.037,0.07,0.5,0.75,750.0,1,32,19,32,0.5938
