variant_id,ablation_group,L,channel,ideal_bitrate_bps,WER,CER,STOI,PESQ,ViSQOL,semantic_similarity,recon_l1,RTF,sample_count,notes
no_semantic_distill,semantic_distillation_on_off,3,clean,1500,,,,,,,0.11135394871234894,0.007064899997203611,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,1,clean,500,,,,,,,0.0984169989824295,0.0071556999973836355,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,2,clean,1000,,,,,,,0.09843172132968903,0.00683730000309879,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,3,clean,1500,,,,,,,0.09843219816684723,0.007311599998502061,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,1,clean,500,,,,,,,0.10572052747011185,0.006814700005634222,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,2,clean,1000,,,,,,,0.10573506355285645,0.006879399996250868,1,Objective audio metrics not executed in this debug run
no_semantic_distill,semantic_distillation_on_off,3,clean,1500,,,,,,,0.10573546588420868,0.006945300003280863,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,1,clean,500,,,,,,,0.16558662056922913,0.00446150000061607,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,2,clean,1000,,,,,,,0.16559241712093353,0.007151400001021102,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,3,clean,1500,,,,,,,0.16559076309204102,0.007363600001554005,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,1,clean,500,,,,,,,0.15811823308467865,0.0070764999982202426,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,2,clean,1000,,,,,,,0.15811435878276825,0.007020500001090113,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,3,clean,1500,,,,,,,0.1581139713525772,0.007037999996100552,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,1,clean,500,,,,,,,0.16265742480754852,0.00923270000203047,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,2,clean,1000,,,,,,,0.1626613289117813,0.005410400000982918,1,Objective audio metrics not executed in this debug run
random_l_off,random_l_sampling_on_off,3,clean,1500,,,,,,,0.16265976428985596,0.006916499994986225,1,Objective audio metrics not executed in this debug run
