model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,550,0.10727272727272727,0.9581818181818181,0.3468232584541494,0.22096702690151604,0.3429815652966499,-0.12201453839513389,0.7836363636363637,0.29835331439971924,0.0018181818181818182,0.48694318532943726
base,2,550,0.3781818181818182,0.9945454545454545,0.4185534103350206,0.35932045640593224,0.38890610266815534,-0.02958564626222307,0.5672727272727273,0.37710487842559814,0.06363636363636363,0.5249238014221191
base,3,550,0.5509090909090909,1.0,0.44904417379335926,0.4103439674052325,0.4000473969632929,0.010296570441939615,0.4527272727272727,0.40520530939102173,0.08727272727272728,0.549588680267334
lca,1,550,0.06181818181818182,0.9945454545454545,0.3732437845251777,0.2131265966052359,0.37113406365567986,-0.158007467050444,0.8363636363636363,0.3150678873062134,0.0018181818181818182,0.5035461187362671
lca,2,550,0.18727272727272729,0.9981818181818182,0.4232753904570233,0.31328765587373214,0.4123141324249181,-0.09902647655118596,0.7109090909090909,0.3756808638572693,0.02181818181818182,0.560479998588562
lca,3,550,0.32181818181818184,0.9981818181818182,0.4433012357083234,0.3591313957219774,0.4219246643239802,-0.06279326860200275,0.6436363636363637,0.3965458273887634,0.02909090909090909,0.5685060024261475
original,0,550,0.9945454545454545,1.0,0.7119769372723319,0.7118855676867745,0.40027812974019483,0.3116074379465797,0.034545454545454546,0.527174711227417,0.94,0.5659270286560059
