model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,8838-298545-0037,2,clean,0.0,0.0,1000,13.79,0.02566635049879551,0.04753148928284645,1.0424621105194092,0.11918953403625206,0.7119414806365967,0.8689891538334951,1.8108528852462769,-1.9640447733308184,0.3604308068752289,0.0,220640,0.0,0.0,3342,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\clean\L2\8838-298545-0037.wav
base,8838-298545-0037,2,dropout-mid,0.05,0.0,1000,13.79,0.02727038413286209,0.050183914601802826,1.083227276802063,-0.5867321898119933,0.6828442811965942,0.8496895441613047,1.6457154750823975,-1.5319021532967985,0.47688785195350647,0.0,220640,0.04710144927536232,0.0,4119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-mid,0.05,0.0,1000,13.79,0.026601338759064674,0.04963519796729088,1.0700945854187012,-0.5913605099261675,0.6826500296592712,0.8563734186589872,1.6920545101165771,-2.0347346453519757,0.3603917062282562,0.0,220640,0.04710144927536232,0.0,4119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,2,dropout-high,0.1,0.0,1000,13.79,0.027954645454883575,0.0510760061442852,1.1198198795318604,-0.8494331715817429,0.6717574000358582,0.8261936719265489,1.5130462646484375,-1.4883154873806326,0.4599655568599701,0.0,220640,0.09492753623188406,0.0,3877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-high\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,dropout-high,0.1,0.0,1000,13.79,0.027781298384070396,0.05171479657292366,1.0986534357070923,-1.27588508635036,0.6535120606422424,0.8362756783350305,1.544874668121338,-2.0116209741542965,0.37103456258773804,0.0,220640,0.09492753623188406,0.0,3877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-high\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-mid,0.0,0.01,1000,13.79,0.02636631391942501,0.048207495361566544,1.0610387325286865,0.07583201131454598,0.7101866602897644,0.8556981209106855,1.7275846004486084,-1.4251327700757996,0.49025043845176697,0.0,220640,0.0,0.011594202898550725,3379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-mid\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-mid,0.0,0.01,1000,13.79,0.02615584246814251,0.048577748239040375,1.0538604259490967,-0.2283527212773501,0.6977519989013672,0.866258729228304,1.7545143365859985,-1.983872437461931,0.360635906457901,0.0,220640,0.0,0.011594202898550725,3379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-mid\L2\8838-298545-0037.wav
base,8838-298545-0037,2,substitution-high,0.0,0.03,1000,13.79,0.026834890246391296,0.04882184416055679,1.133499026298523,-0.14170593228483763,0.7013155221939087,0.8380997985099937,1.5580060482025146,-1.4911431475176888,0.4872642457485199,0.0,220640,0.0,0.035507246376811595,3651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-high\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,substitution-high,0.0,0.03,1000,13.79,0.026690803468227386,0.04921616241335869,1.1219940185546875,-0.4593498615411469,0.6881731748580933,0.844209969431452,1.6245481967926025,-2.0582896363362457,0.3601115643978119,0.0,220640,0.0,0.035507246376811595,3651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-high\L2\8838-298545-0037.wav
base,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.023706944659352303,0.043239694088697433,0.9816579818725586,1.8969347528380718,0.7794182896614075,0.8798481667597896,1.872251033782959,-0.6619138911764626,0.45209625363349915,0.0,220640,0.0,0.0,4342,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\clean\L3\8838-298545-0037.wav
