variant,L,channel,step,comm_mel_clean,comm_mel_pert,gap
V2,3,dropout-mid,2500,0.44725286960601807,0.46866682171821594,0.021413952112197876
V2,3,dropout-mid,5000,0.45874717831611633,0.48099449276924133,0.022247314453125
V2,3,dropout-mid,7500,0.431251585483551,0.452919065952301,0.02166748046875
V2,3,dropout-mid,10000,0.4240986704826355,0.4447609484195709,0.020662277936935425
V2,3,dropout-mid,12500,0.4826129376888275,0.5014007687568665,0.01878783106803894
V2,3,dropout-mid,15000,2.047445774078369,2.0683653354644775,0.0209195613861084
V2,3,dropout-mid,17500,0.42347773909568787,0.4441773295402527,0.02069959044456482
V2,3,dropout-mid,20000,0.4792937934398651,0.49824294447898865,0.018949151039123535
V2,3,dropout-mid,22500,0.515546441078186,0.5347152352333069,0.01916879415512085
V2,3,dropout-mid,25000,0.4396800100803375,0.4584125578403473,0.018732547760009766
V2,3,dropout-mid,27500,0.4348258972167969,0.4535605311393738,0.018734633922576904
V2,3,dropout-mid,30000,0.44135990738868713,0.4597661793231964,0.018406271934509277
V2,3,dropout-mid,32500,0.4856703281402588,0.5035215616226196,0.01785123348236084
V2,3,dropout-high,2500,0.44725286960601807,0.4895998239517212,0.042346954345703125
V2,3,dropout-high,5000,0.45874717831611633,0.5009986162185669,0.04225143790245056
V2,3,dropout-high,7500,0.431251585483551,0.4739202558994293,0.042668670415878296
V2,3,dropout-high,10000,0.4240986704826355,0.4625864624977112,0.038487792015075684
V2,3,dropout-high,12500,0.4826129376888275,0.5226396322250366,0.040026694536209106
V2,3,dropout-high,15000,2.047445774078369,2.081247329711914,0.03380155563354492
V2,3,dropout-high,17500,0.42347773909568787,0.46085262298583984,0.03737488389015198
V2,3,dropout-high,20000,0.4792937934398651,0.5194340944290161,0.040140300989151
V2,3,dropout-high,22500,0.515546441078186,0.5529563426971436,0.03740990161895752
V2,3,dropout-high,25000,0.4396800100803375,0.4769757091999054,0.03729569911956787
V2,3,dropout-high,27500,0.4348258972167969,0.47262680530548096,0.03780090808868408
V2,3,dropout-high,30000,0.44135990738868713,0.4779994785785675,0.03663957118988037
V2,3,dropout-high,32500,0.4856703281402588,0.52326500415802,0.03759467601776123
V2,3,substitution-mid,2500,0.44725286960601807,0.5088717937469482,0.061618924140930176
V2,3,substitution-mid,5000,0.45874717831611633,0.5470738410949707,0.08832666277885437
V2,3,substitution-mid,7500,0.431251585483551,0.5171067714691162,0.08585518598556519
V2,3,substitution-mid,10000,0.4240986704826355,0.4942251145839691,0.07012644410133362
V2,3,substitution-mid,12500,0.4826129376888275,0.5416126251220703,0.0589996874332428
V2,3,substitution-mid,15000,2.047445774078369,2.1210129261016846,0.07356715202331543
V2,3,substitution-mid,17500,0.42347773909568787,0.47172898054122925,0.04825124144554138
V2,3,substitution-mid,20000,0.4792937934398651,0.5247124433517456,0.04541864991188049
V2,3,substitution-mid,22500,0.515546441078186,0.5818210244178772,0.06627458333969116
V2,3,substitution-mid,25000,0.4396800100803375,0.48787733912467957,0.04819732904434204
V2,3,substitution-mid,27500,0.4348258972167969,0.5009750127792358,0.06614911556243896
V2,3,substitution-mid,30000,0.44135990738868713,0.5008358955383301,0.059475988149642944
V2,3,substitution-mid,32500,0.4856703281402588,0.5621315836906433,0.07646125555038452
