model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,2,1.0,1.0,0.9820831418037415,0.9820831418037415,0.9758962690830231,0.006186872720718384,0.0,0.9769269227981567,1.0,0.9769269227981567
original,0,2,1.0,1.0,0.9900555610656738,0.9900555610656738,0.9810967743396759,0.008958786725997925,0.0,0.9882833361625671,1.0,0.9882833361625671
