run_id,candidate_id,encoder_type,architecture_json,encoder_strides,decoder_strides,decoder_condition,n_filters,compress,lstm,activation,layer_ops_list,layer_se_list,valid_interface,status,semantic_proxy_loss,proxy_recon_l1,proxy_mel_loss,teacher_latent_smooth_l1,teacher_latent_cosine_distance,teacher_temporal_delta_loss,rvq_code_agreement,rvq_code_flip_rate,rvq_quantized_feature_l1,distill_enabled,distill_steps,train_mean_latent_smooth_l1,train_mean_cosine_distance,train_mean_temporal_delta_loss,train_mean_total,train_last_latent_smooth_l1,train_last_cosine_distance,train_last_temporal_delta_loss,train_last_total,encoder_params,encoder_macs,encoder_macs_g,thop_params,encoder_rtf_mean,encoder_rtf_std,evaluated_batches,codes_shape,output_shape,interface_shape_1s,error,stage,stage_rank,stage_score,stage_semantic_penalty,stage_teacher_penalty,stage_rvq_penalty,stage_recon_penalty,stage_mel_penalty,stage_quality_penalty,stage_resource_score,selected_for_next_stage,stage_selection_reason
exp1_nas_distill_run1_seed42,nas_seed42_005314,nas-candidate,artifacts/candidates/nas_seed42_005314.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k7"", ""sep_k5"", ""std_k3"", ""sep_k5""]","[true, true, false, false]",True,completed,0.6933922283351421,0.03021684638224542,2.19468155503273,2.5569101125001907,0.3368760161101818,1.8254399299621582,0.07750000094529241,0.9224999990547076,2.6086061000823975,True,500,3.0405922622680666,0.504100634098053,2.11936896443367,4.604377374649048,2.73468279838562,0.35554713010787964,2.0177886486053467,4.099124431610107,8456840,566227608,0.566227608,8454632,0.007634859999234323,0.00018672869753837436,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,18,63.236154656283716,0.0,48.38161655784464,14.985263476006864,0.04883888972364815,0.6282908669550298,63.77315788785871,-0.5370032315749915,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005500,nas-candidate,artifacts/candidates/nas_seed42_005500.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""dil_k5"", ""dil_k5"", ""sep_k3"", ""sep_k9""]","[true, false, false, true]",True,completed,0.6944789215922356,0.03209543664706871,2.350999489426613,2.6828479915857315,0.37029560282826424,1.9308516681194305,0.04958333383547142,0.9504166661645286,2.671930506825447,True,500,3.0397926898002625,0.5000657761096954,2.135662766933441,4.60768986082077,2.75398588180542,0.3581286668777466,2.072425365447998,4.148326873779297,8447096,550200072,0.550200072,8444888,0.00762481999990996,3.88241349141325e-05,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,49,63.446802923957264,0.0,48.484091681467795,15.019589424699523,0.10915315314667644,0.6970944607715317,63.987429674518246,-0.5406267505609798,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005582,nas-candidate,artifacts/candidates/nas_seed42_005582.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,Snake,"[""dil_k5"", ""sep_k7"", ""std_k5"", ""sep_k3""]","[false, false, false, true]",True,completed,0.6913524903357029,0.03158090356737375,2.493351638317108,2.6831463426351547,0.3723306767642498,1.9361829683184624,0.05041666777106002,0.94958333222894,2.7145797461271286,True,500,3.0519688324928285,0.5039728137254715,2.1512262976169585,4.631554786682129,2.8047707080841064,0.3731951117515564,2.1750717163085938,4.265501976013184,8473496,550123200,0.5501232,8471288,0.007344739996187855,0.00023598382081828765,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,57,63.48139443197526,0.0,48.4866213134338,15.026840709727587,0.09299191407520814,0.7558817532488395,64.02278622355581,-0.5413917915805528,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005687,nas-candidate,artifacts/candidates/nas_seed42_005687.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,Snake,"[""skip"", ""std_k7"", ""dil_k3"", ""sep_k7""]","[false, true, false, true]",True,completed,0.693240262567997,0.03037954296451062,2.144058547914028,2.534354716539383,0.33071640133857727,1.8712358102202415,0.07791666919365525,0.9220833308063447,2.5856416821479797,True,500,3.0661431450843812,0.5157586842775345,2.1518654098510743,4.657834519863129,2.6403310298919678,0.3316044211387634,2.0415618419647217,3.9927163124084473,8471120,528561936,0.528561936,8468984,0.006961999999475665,8.018361547126311e-05,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,13,63.208471261174104,0.0,48.38029319485915,14.980508987754662,0.054208746738899125,0.6049544590179063,63.75630010606789,-0.5478288448937862,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005722,nas-candidate,artifacts/candidates/nas_seed42_005722.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k5"", ""std_k5"", ""skip"", ""std_k5""]","[false, false, false, true]",True,completed,0.691160574555397,0.032087850267998874,2.2898466363549232,2.6629114001989365,0.3688374534249306,1.945890873670578,0.06291666824836284,0.9370833317516372,2.6763220876455307,True,500,3.040238924741745,0.499552694439888,2.154695369005203,4.617139313220978,2.8180248737335205,0.3700595498085022,2.17617130279541,4.276169776916504,8586824,568881600,0.5688816,8584904,0.006514700001571327,0.0001266178025515849,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,43,63.4164569114859,0.0,48.47829131332101,15.009743881775709,0.10891675580806072,0.6707387526859181,63.95582850019311,-0.5393715887072028,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005738,nas-candidate,artifacts/candidates/nas_seed42_005738.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k7"", ""sep_k5"", ""dil_k5"", ""sep_k7""]","[true, false, true, true]",True,completed,0.6922177858650684,0.030227979412302375,2.2325237095355988,2.552068307995796,0.3337496519088745,1.8701135888695717,0.07708333426853642,0.9229166657314636,2.584519386291504,True,500,3.016059736728668,0.4919658739566803,2.1285549829006194,4.572303103923797,2.6072909832000732,0.315595805644989,2.0538628101348877,3.9498181343078613,8481128,573606120,0.57360612,8478920,0.007947780001268256,9.376032256786227e-05,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,20,63.25368241264169,0.0,48.38986796112842,14.980958583951876,0.049207259721791116,0.645386562271324,63.78758283827616,-0.5339004256344716,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005912,nas-candidate,artifacts/candidates/nas_seed42_005912.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k7"", ""skip"", ""dil_k5"", ""std_k3""]","[true, false, false, true]",True,completed,0.6925759389996529,0.03134171821875498,2.2267721965909004,2.6069212406873703,0.3471050262451172,1.8809479176998138,0.06500000128289685,0.9349999987171032,2.640510320663452,True,500,3.0358883547782898,0.5008330085277557,2.1250444033145905,4.5992435660362245,2.6760575771331787,0.3341977000236511,2.102179765701294,4.061345100402832,8549096,575716872,0.575716872,8547032,0.00715349999954924,0.0001597413924173135,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,34,63.32755178662278,0.0,48.42495294373578,15.001341567915375,0.08538935417282022,0.6428069998224278,63.863212324048305,-0.5356605374255258,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_005944,nas-candidate,artifacts/candidates/nas_seed42_005944.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,Snake,"[""std_k7"", ""sep_k9"", ""dil_k3"", ""sep_k7""]","[true, true, false, false]",True,completed,0.6938227452337742,0.02983072167262435,2.1250888779759407,2.503691554069519,0.3211739808320999,1.8050685077905655,0.08166666788747534,0.9183333321125247,2.5367095917463303,True,500,2.991349230289459,0.4860830918550491,2.096142987728119,4.525503807067871,2.6106505393981934,0.31827837228775024,1.9899762868881226,3.923917055130005,8452808,561850008,0.561850008,8450600,0.007608239998808131,0.00022728629179183393,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,3,63.15200119489229,0.0,48.342914371828755,14.96795603620569,0.03597808472488555,0.5960675348180765,63.69009777976022,-0.5380965848679304,True,top-k by stage3 refined quality-constrained proxy score
exp1_nas_distill_run1_seed42,nas_seed42_005951,nas-candidate,artifacts/candidates/nas_seed42_005951.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,Snake,"[""dil_k5"", ""dil_k5"", ""std_k7"", ""dil_k5""]","[false, false, false, false]",True,completed,0.694978516548872,0.031973058357834816,2.2940127477049828,2.7013460844755173,0.37941185384988785,1.9432799443602562,0.060000001394655555,0.9399999986053444,2.6666791886091232,True,500,3.0513325033187866,0.5053838850259781,2.149024823188782,4.631228796482086,2.7425928115844727,0.3585975766181946,2.093069553375244,4.1477251052856445,8642600,586368000,0.586368,8640392,0.006943259999388829,0.00019642925218606923,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,47,63.44405914892463,0.0,48.50010337584974,15.01027244131095,0.10533291550697262,0.6725564840551076,63.977109456897935,-0.5330503079733055,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_006041,nas-candidate,artifacts/candidates/nas_seed42_006041.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k5"", ""pw_bottleneck_k3"", ""std_k5"", ""dil_k5""]","[false, false, false, true]",True,completed,0.6963571012020111,0.03322114248294383,2.7657598853111267,2.9512623101472855,0.46938619762659073,2.0125840455293655,0.032500000204890966,0.967499999795109,2.918459862470627,True,500,3.0668101544380186,0.5093766024112701,2.1641017479896547,4.6582376217842105,2.950467348098755,0.4182656407356262,2.265967845916748,4.501716613769531,8623496,567441600,0.5674416,8621288,0.007522820000303909,8.322469545251045e-05,16,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage3_refined,64,63.81324363282323,0.0,48.668791012507896,15.077383484284754,0.14362578865684383,0.8595693285012164,64.3480915670875,-0.5348479342642617,False,not in top-k
