model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,2,1.0,0.0,0.21025177091360092,0.21025177091360092,0.12525925040245056,0.08499252051115036,0.0,0.20978139340877533,1.0,0.20978139340877533
original,0,2,1.0,1.0,0.7288173139095306,0.7288173139095306,0.04626860283315182,0.6825487110763788,0.0,0.6889327764511108,1.0,0.6889327764511108
