model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,4018-103416-0033,1,clean,0.0,0.0,500,15.13,0.03661447763442993,0.06319005787372589,1.088287115097046,0.22093092751901283,0.7160411477088928,0.7575737109527957,1.424527883529663,-3.273054187272499,0.4121204912662506,0.0,242080,0.0,0.0,52021,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\4018-103416-0033.wav
base,4018-103416-0033,2,clean,0.0,0.0,1000,15.13,0.027028799057006836,0.04594457522034645,0.8454596996307373,4.595315035427048,0.8615851998329163,0.8641982601275472,2.0328855514526367,-1.088588939766955,0.4983604848384857,0.0,242080,0.0,0.0,53021,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\4018-103416-0033.wav
lca,4018-103416-0033,2,clean,0.0,0.0,1000,15.13,0.026119757443666458,0.04501112177968025,0.9276803731918335,4.825666951026147,0.867377519607544,0.8458820387690491,1.9042301177978516,-1.2750109863851873,0.4602399170398712,0.0,242080,0.0,0.0,53021,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\4018-103416-0033.wav
base,4018-103416-0033,3,clean,0.0,0.0,1500,15.13,0.023180905729532242,0.03884157910943031,0.794690728187561,6.578545300079909,0.9054095149040222,0.889435816135229,2.403822422027588,-0.2606520107189813,0.553870677947998,0.0,242080,0.0,0.0,54021,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\4018-103416-0033.wav
lca,4018-103416-0033,3,clean,0.0,0.0,1500,15.13,0.02217213250696659,0.03793025389313698,0.8737978935241699,6.721389746283954,0.9080612063407898,0.8727862692979136,2.221050262451172,-0.6400235813485,0.46870163083076477,0.0,242080,0.0,0.0,54021,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\4018-103416-0033.wav
base,1737-148989-0006,1,clean,0.0,0.0,500,10.69,0.025542473420500755,0.0450371690094471,1.301960825920105,-17.977611088536094,0.12522394955158234,0.7597048731079195,1.195818305015564,-1.7843299773898516,0.3443892300128937,0.0,171040,0.0,0.0,5108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\1737-148989-0006.wav
lca,1737-148989-0006,1,clean,0.0,0.0,500,10.69,0.023227831348776817,0.0436379536986351,1.2200350761413574,-24.78391431926003,0.05755509436130524,0.7186871973224881,1.137163758277893,-3.4985385587560582,0.3746584355831146,0.0,171040,0.0,0.0,5108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\1737-148989-0006.wav
base,1737-148989-0006,2,clean,0.0,0.0,1000,10.69,0.022374605759978294,0.043169111013412476,0.9510124325752258,-15.641469571623974,0.16296036541461945,0.8053675796496105,1.4676434993743896,-2.2826034379792817,0.3731744587421417,0.0,171040,0.0,0.0,6108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\1737-148989-0006.wav
lca,1737-148989-0006,2,clean,0.0,0.0,1000,10.69,0.022373555228114128,0.04292963445186615,1.0142927169799805,-19.96570582759291,0.09989343583583832,0.7800863541866435,1.2864130735397339,-3.358358530247021,0.3339759409427643,0.0,171040,0.0,0.0,6108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\1737-148989-0006.wav
base,1737-148989-0006,3,clean,0.0,0.0,1500,10.69,0.021462585777044296,0.042003706097602844,0.879284679889679,-13.565967914748523,0.20528273284435272,0.830696600367496,1.652954339981079,-2.346524931663062,0.35000649094581604,0.0,171040,0.0,0.0,7108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\1737-148989-0006.wav
lca,1737-148989-0006,3,clean,0.0,0.0,1500,10.69,0.022041236981749535,0.04265393316745758,0.9487363696098328,-18.541950459948747,0.11745884269475937,0.812808122978023,1.42044997215271,-3.28074970555247,0.32456761598587036,0.0,171040,0.0,0.0,7108,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\1737-148989-0006.wav
base,1455-138263-0040,1,clean,0.0,0.0,500,14.83,0.028753384947776794,0.048505932092666626,1.178460955619812,-8.214814126793028,0.36203595995903015,0.7496623329479117,1.202965259552002,-2.9811201459363605,0.4631107449531555,0.0,237280,0.0,0.0,39007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\1455-138263-0040.wav
lca,1455-138263-0040,1,clean,0.0,0.0,500,14.83,0.02753976546227932,0.04735090956091881,1.1549450159072876,-7.374855513140124,0.3933325707912445,0.7469255747099349,1.2039421796798706,-3.0232609425857104,0.4136665463447571,0.0,237280,0.0,0.0,39007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\1455-138263-0040.wav
base,1455-138263-0040,2,clean,0.0,0.0,1000,14.83,0.024190565571188927,0.04283297061920166,0.9434542655944824,-3.3865031211583267,0.5606862902641296,0.8166732337491991,1.5344619750976562,-1.3702916173227435,0.5201448202133179,0.0,237280,0.0,0.0,40007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\1455-138263-0040.wav
lca,1455-138263-0040,2,clean,0.0,0.0,1000,14.83,0.024074586108326912,0.04278002679347992,0.9977049231529236,-3.5001475127158495,0.555658757686615,0.807887677923643,1.4231016635894775,-1.5566719379452174,0.4396199584007263,0.0,237280,0.0,0.0,40007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\1455-138263-0040.wav
base,1455-138263-0040,3,clean,0.0,0.0,1500,14.83,0.02260851301252842,0.041276030242443085,0.8692589998245239,-2.259561336551009,0.6105621457099915,0.8459121495854109,1.715861201286316,-0.8233898780311772,0.5675107836723328,0.0,237280,0.0,0.0,41007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\1455-138263-0040.wav
lca,1455-138263-0040,3,clean,0.0,0.0,1500,14.83,0.022334685549139977,0.040795642882585526,0.9414587020874023,-2.078711083192912,0.6185249090194702,0.8271798101383636,1.563549280166626,-0.8581743304498978,0.46563228964805603,0.0,237280,0.0,0.0,41007,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\1455-138263-0040.wav
base,311-124404-0119,1,clean,0.0,0.0,500,6.175,0.019457921385765076,0.03414755314588547,1.1597135066986084,-10.413005475214387,0.28870323300361633,0.7504839009442246,1.1993967294692993,-3.2740188829483063,0.27581915259361267,0.0,98800,0.0,0.0,22294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\311-124404-0119.wav
lca,311-124404-0119,1,clean,0.0,0.0,500,6.175,0.018083883449435234,0.032909125089645386,1.129244089126587,-9.725669484763426,0.3102678656578064,0.7679509852403357,1.2071853876113892,-4.191459353389609,0.275748610496521,0.0,98800,0.0,0.0,22294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\311-124404-0119.wav
base,311-124404-0119,2,clean,0.0,0.0,1000,6.175,0.014951261691749096,0.026818985119462013,0.9290744662284851,-1.9707342160401475,0.6232678890228271,0.8234446580032374,1.2910315990447998,-1.4159976790001179,0.4202136695384979,0.0,98800,0.0,0.0,23294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\311-124404-0119.wav
lca,311-124404-0119,2,clean,0.0,0.0,1000,6.175,0.015016312710940838,0.02713637426495552,0.9629531502723694,-2.588939986124334,0.5960122346878052,0.8196228689537935,1.329601764678955,-2.160591993529262,0.40098920464515686,0.0,98800,0.0,0.0,23294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\311-124404-0119.wav
base,311-124404-0119,3,clean,0.0,0.0,1500,6.175,0.013260569423437119,0.02375612035393715,0.8641102910041809,0.4303695015885817,0.7243989706039429,0.8520600080450604,1.3955070972442627,-0.5750963633683678,0.3621494472026825,0.0,98800,0.0,0.0,24294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\311-124404-0119.wav
lca,311-124404-0119,3,clean,0.0,0.0,1500,6.175,0.014006173238158226,0.025246143341064453,0.9009557366371155,-0.8431228089100797,0.6720251441001892,0.8466278526668924,1.4282280206680298,-1.216623890471276,0.45078685879707336,0.0,98800,0.0,0.0,24294,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\311-124404-0119.wav
base,4680-16026-0019,1,clean,0.0,0.0,500,2.34,0.028103182092308998,0.05238576605916023,1.1014035940170288,-0.23030083768950135,0.6976718306541443,0.8730079649642002,1.8172810077667236,-3.592846338372918,0.3433854579925537,0.0,37440,0.0,0.0,57610,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\4680-16026-0019.wav
lca,4680-16026-0019,1,clean,0.0,0.0,500,2.34,0.028583010658621788,0.05543673038482666,1.1516746282577515,-1.3345606751512467,0.6509802937507629,0.825862288106104,1.6107933521270752,-3.680772427761063,0.3453079164028168,0.0,37440,0.0,0.0,57610,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\4680-16026-0019.wav
