model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,2,1.0,0.0,0.21012213826179504,0.21012213826179504,0.12521959468722343,0.08490254357457161,0.0,0.2095365822315216,1.0,0.2095365822315216
original,0,2,1.0,1.0,0.7288125455379486,0.7288125455379486,0.046231308951973915,0.6825812365859747,0.0,0.6889811158180237,1.0,0.6889811158180237
