model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,100,0.25,0.66,0.2690646839141846,0.20463298579677938,0.258722917586565,-0.05408993178978563,0.63,0.23905909061431885,0.0,0.42701539397239685
base,2,100,0.65,0.89,0.36737575128674504,0.34636128164827823,0.30152860045433044,0.044832681193947795,0.39,0.3209362328052521,0.08,0.481420636177063
base,3,100,0.77,0.96,0.4154338921606541,0.4028918382525444,0.32040363907814023,0.08248819917440414,0.31,0.3565787672996521,0.07,0.5523827075958252
lca,1,100,0.23,0.82,0.30653173714876175,0.2097798696346581,0.29606780648231507,-0.08628793684765697,0.69,0.26656514406204224,0.0,0.4383227229118347
lca,2,100,0.43,0.92,0.3594450736045837,0.30527687951922416,0.32434542059898375,-0.019068541079759596,0.58,0.3227916359901428,0.09,0.46640777587890625
lca,3,100,0.58,0.9,0.38898017674684526,0.34791271477937696,0.32972044087946417,0.018192273899912834,0.47,0.34033966064453125,0.11,0.5130906701087952
original,0,100,1.0,1.0,0.7078990393877029,0.7078990393877029,0.31029003351926804,0.3976090058684349,0.05,0.5190238952636719,0.94,0.5658944845199585
