split,condition,L,n_total,n_lca_worse,n_lca_better,n_tied,mean_delta_wer,median_delta_wer,mean_base_wer_on_regressions,mean_utt_words_on_regressions,share_short_utts_on_regressions,share_strong_base_on_regressions
clean,clean,1,300,106,145,49,-0.02609529648728505,0.0,0.280574662757986,23.81132075471698,0.1792452830188679,0.22641509433962265
clean,clean,2,300,91,99,110,0.0016008015248895947,0.0,0.10043667376983358,24.395604395604394,0.17582417582417584,0.6153846153846154
clean,clean,3,300,61,72,167,-0.023369379811877658,0.0,0.05972019612592632,26.80327868852459,0.13114754098360656,0.819672131147541
perturbed,dropout-high,1,100,34,46,20,-0.009484501218705024,0.0,0.24593205325086387,23.529411764705884,0.2647058823529412,0.23529411764705882
perturbed,dropout-high,2,100,35,33,32,0.009599976878961558,0.0,0.15332127340279542,25.65714285714286,0.17142857142857143,0.5714285714285714
perturbed,dropout-high,3,100,31,22,47,0.011699243666617494,0.0,0.10105822973357041,26.032258064516128,0.1935483870967742,0.6774193548387096
perturbed,substitution-high,1,100,36,50,14,-0.041260059590041906,-0.008620689655172403,0.26247947278298545,26.194444444444443,0.1388888888888889,0.2222222222222222
perturbed,substitution-high,2,100,33,28,39,0.006443980718759295,0.0,0.08041362248783708,28.545454545454547,0.18181818181818182,0.696969696969697
perturbed,substitution-high,3,100,27,27,46,0.00792144421772578,0.0,0.15096397135546732,29.555555555555557,0.14814814814814814,0.7777777777777778
