layer,codebook_size,used_codes,usage_rate,perplexity,dead_codes,dead_code_ratio,top1_frequency,sample_count,note
1,1024,399,0.3896484375,286.077684201541,625,0.6103515625,0.019853333333333334,1500,"sanity/proxy codebook usage, not final communication quality"
2,1024,1012,0.98828125,645.4816569228556,12,0.01171875,0.01392,1500,"sanity/proxy codebook usage, not final communication quality"
3,1024,998,0.974609375,668.4625704042389,26,0.025390625,0.015413333333333333,1500,"sanity/proxy codebook usage, not final communication quality"
