sample_id,source_audio,duration_sec,original_path,recon_L1_path,recon_L1_l1,recon_L1_shape,recon_L2_path,recon_L2_l1,recon_L2_shape,recon_L3_path,recon_L3_l1,recon_L3_shape
8838-298545-0037,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\8838\298545\8838-298545-0037.flac,13.79,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\original\8838-298545-0037.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L1\8838-298545-0037.wav,0.036629583686590195,"[1, 1, 220800]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L2\8838-298545-0037.wav,0.02941577136516571,"[1, 1, 220800]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L3\8838-298545-0037.wav,0.027214890345931053,"[1, 1, 220800]"
5390-30102-0015,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\5390\30102\5390-30102-0015.flac,15.26,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\original\5390-30102-0015.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L1\5390-30102-0015.wav,0.03334133327007294,"[1, 1, 244160]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L2\5390-30102-0015.wav,0.0265472661703825,"[1, 1, 244160]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L3\5390-30102-0015.wav,0.02473415993154049,"[1, 1, 244160]"
4018-103416-0033,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\4018\103416\4018-103416-0033.flac,15.13,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\original\4018-103416-0033.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L1\4018-103416-0033.wav,0.04504437372088432,"[1, 1, 242240]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L2\4018-103416-0033.wav,0.02950776368379593,"[1, 1, 242240]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L3\4018-103416-0033.wav,0.025996621698141098,"[1, 1, 242240]"
1737-148989-0006,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\1737\148989\1737-148989-0006.flac,10.69,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\original\1737-148989-0006.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L1\1737-148989-0006.wav,0.024630563333630562,"[1, 1, 171200]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L2\1737-148989-0006.wav,0.022908339276909828,"[1, 1, 171200]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S2_C_distill30_20260528_seed42\samples\full_utterance\recon_L3\1737-148989-0006.wav,0.022649383172392845,"[1, 1, 171200]"
