model,feature_kind,L,feature_dim,speaker_count,test_count,top1_accuracy,top5_accuracy,macro_f1
base,codes_hist,1,1024,110,550,0.33454545454545453,0.6636363636363637,0.3192699264490709
base,codes_hist,2,2048,110,550,0.48,0.8109090909090909,0.45490573894317204
base,codes_hist,3,3072,110,550,0.5109090909090909,0.8218181818181818,0.4945465963548968
base,latent_stats,1,2048,110,550,0.3563636363636364,0.6636363636363637,0.3397638007925089
base,latent_stats,2,4096,110,550,0.5672727272727273,0.82,0.549565952388919
base,latent_stats,3,6144,110,550,0.6018181818181818,0.8418181818181818,0.5902126779934267
lca,codes_hist,1,1024,110,550,0.3381818181818182,0.6436363636363637,0.32209161675176307
lca,codes_hist,2,2048,110,550,0.44,0.7727272727272727,0.4167136483305917
lca,codes_hist,3,3072,110,550,0.5290909090909091,0.8090909090909091,0.4978635831598117
lca,latent_stats,1,2048,110,550,0.3509090909090909,0.6363636363636364,0.3337649442061207
lca,latent_stats,2,4096,110,550,0.5436363636363636,0.8,0.5286758814566301
lca,latent_stats,3,6144,110,550,0.5890909090909091,0.8290909090909091,0.5788326320144501
