model,L,n,top1_accuracy,verified_rate,score_mean,correct_score_mean,max_impostor_score_mean,margin_mean,eer,eer_threshold,tar_at_far,tar_threshold
base,1,550,0.12545454545454546,0.9581818181818181,0.33996064719828695,0.22682401930574667,0.33440871119499205,-0.1075846918892454,0.7436363636363637,0.2927142381668091,0.01090909090909091,0.4577592611312866
base,2,550,0.4490909090909091,0.9963636363636363,0.4095505778085102,0.36310708314180373,0.37557051287455995,-0.012463429732756182,0.5254545454545455,0.368887335062027,0.038181818181818185,0.5314366817474365
base,3,550,0.6236363636363637,1.0,0.44525770485401156,0.41782819800756194,0.38926222335208543,0.028565974655476483,0.42,0.39973950386047363,0.12,0.5364426374435425
lca,1,550,0.07454545454545454,0.9854545454545455,0.3486104858463461,0.2108518150448799,0.3459618243304166,-0.13511000928553668,0.8090909090909091,0.30011773109436035,0.0036363636363636364,0.45970025658607483
lca,2,550,0.2581818181818182,1.0,0.4072115930102088,0.31882006046108224,0.3928182705965909,-0.07399821013550867,0.6454545454545455,0.36362120509147644,0.01090909090909091,0.5414985418319702
lca,3,550,0.3490909090909091,1.0,0.4323360006375746,0.36379683506251737,0.40705967567183754,-0.04326284060932019,0.5836363636363636,0.3871496319770813,0.04727272727272727,0.5541486740112305
original,0,550,1.0,1.0,0.7126120342449709,0.7126120342449709,0.40193098415027967,0.3106810500946912,0.02909090909090909,0.5432837605476379,0.9454545454545454,0.5786567330360413
