model,feature_kind,L,feature_dim,speaker_count,test_count,top1_accuracy,top5_accuracy,macro_f1
base,codes_hist,1,1024,110,550,0.3490909090909091,0.6927272727272727,0.3277198006046866
base,codes_hist,2,2048,110,550,0.52,0.8218181818181818,0.5052037085721295
base,codes_hist,3,3072,110,550,0.5163636363636364,0.8290909090909091,0.4944908285416306
base,latent_stats,1,2048,110,550,0.3654545454545455,0.7090909090909091,0.35059627241445424
base,latent_stats,2,4096,110,550,0.5527272727272727,0.8327272727272728,0.5380202996646847
base,latent_stats,3,6144,110,550,0.5636363636363636,0.7963636363636364,0.546598806250509
lca,codes_hist,1,1024,110,550,0.31636363636363635,0.6509090909090909,0.29501482102973803
lca,codes_hist,2,2048,110,550,0.4672727272727273,0.7909090909090909,0.45140207237800817
lca,codes_hist,3,3072,110,550,0.5309090909090909,0.8236363636363636,0.5132137165193431
lca,latent_stats,1,2048,110,550,0.3327272727272727,0.6581818181818182,0.3146801497279966
lca,latent_stats,2,4096,110,550,0.5363636363636364,0.8181818181818182,0.5262532669350851
lca,latent_stats,3,6144,110,550,0.5436363636363636,0.7927272727272727,0.5349198781016963
