sample_id,source_audio,duration_sec,original_path,recon_L1_path,recon_L1_l1,recon_L1_shape,recon_L2_path,recon_L2_l1,recon_L2_shape,recon_L3_path,recon_L3_l1,recon_L3_shape
8838-298545-0037,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\8838\298545\8838-298545-0037.flac,13.79,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\original\8838-298545-0037.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L1\8838-298545-0037.wav,0.03671817481517792,"[1, 1, 220800]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L2\8838-298545-0037.wav,0.03169725835323334,"[1, 1, 220800]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L3\8838-298545-0037.wav,0.029152166098356247,"[1, 1, 220800]"
5390-30102-0015,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\5390\30102\5390-30102-0015.flac,15.26,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\original\5390-30102-0015.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L1\5390-30102-0015.wav,0.03491777181625366,"[1, 1, 244160]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L2\5390-30102-0015.wav,0.027492376044392586,"[1, 1, 244160]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L3\5390-30102-0015.wav,0.025374334305524826,"[1, 1, 244160]"
4018-103416-0033,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\4018\103416\4018-103416-0033.flac,15.13,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\original\4018-103416-0033.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L1\4018-103416-0033.wav,0.04773121327161789,"[1, 1, 242240]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L2\4018-103416-0033.wav,0.03248949721455574,"[1, 1, 242240]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L3\4018-103416-0033.wav,0.027648460119962692,"[1, 1, 242240]"
1737-148989-0006,H:\H-CODE\speechtokenizer\data\SpeechPretrain\LibriSpeech\train-clean-100\1737\148989\1737-148989-0006.flac,10.69,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\original\1737-148989-0006.wav,output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L1\1737-148989-0006.wav,0.02528853341937065,"[1, 1, 171200]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L2\1737-148989-0006.wav,0.023562559857964516,"[1, 1, 171200]",output\experiments\exp2_scit_speech_training_20260527_232327_seed42\supplementary\S1_decoder_only_acoustic_20260528_seed42\samples\full_utterance\recon_L3\1737-148989-0006.wav,0.022842710837721825,"[1, 1, 171200]"
