layer,codebook_size,used_codes,usage_rate,perplexity,dead_codes,dead_code_ratio,top1_frequency
1,1024,127,0.1240234375,82.97154747615086,897,0.8759765625,0.0875
2,1024,260,0.25390625,215.13847958553347,764,0.74609375,0.02
3,1024,265,0.2587890625,226.48795539191482,759,0.7412109375,0.02
